,avg_monthly_hrs,last_evaluation,n_projects,salary,satisfaction,status,tenure,age,gender,marital_status,dept_name
2,156.0,0.474082,2,2,0.405101,1,3.0,24,0,1,8
3,256.0,0.96136,6,1,0.152974,1,4.0,51,0,0,9
4,146.0,0.507349,2,2,0.434845,1,3.0,23,0,1,8
5,135.0,0.482184,2,1,0.381545,1,3.0,23,0,1,5
6,270.0,0.867087,6,1,0.172575,1,4.0,24,0,1,7
7,244.0,0.926197,6,2,0.0618684,1,5.0,29,0,0,3
8,289.0,0.929858,7,1,0.161744,1,4.0,36,0,0,3
9,281.0,0.907965,6,2,0.105749,1,4.0,50,0,0,8
10,269.0,0.867086,6,1,0.121133,1,4.0,29,1,1,9
11,267.0,0.953585,5,1,0.87131,1,6.0,23,0,1,9
12,257.0,0.886631,5,1,0.265318,1,5.0,36,1,0,0
13,155.0,0.521682,2,1,0.387475,1,3.0,22,0,1,5
14,269.0,0.959077,4,2,0.960757,1,5.0,25,0,1,8
15,244.0,0.943946,7,2,0.171328,1,4.0,44,0,0,4
16,256.0,0.897617,5,2,0.753731,1,5.0,24,0,1,8
17,128.0,0.504768,2,2,0.485149,1,3.0,22,0,1,8
18,274.0,1.0,5,1,0.799562,1,5.0,24,0,1,7
19,155.0,0.440299,2,1,0.415771,1,3.0,25,0,1,8
20,151.0,0.448019,2,1,0.42688,1,3.0,25,0,1,8
21,127.0,0.7184519938425691,2,1,0.370515,1,3.0,24,1,1,1
22,151.0,0.531487,2,1,0.390047,1,3.0,33,1,0,5
23,132.0,0.566959,5,1,0.293481,1,5.0,25,0,1,8
24,128.0,0.499776,2,1,0.335383,1,3.0,25,1,1,1
26,309.0,0.78484,6,1,0.0785233,1,4.0,52,0,0,1
27,130.0,0.463049,2,1,0.401826,1,3.0,24,0,1,5
29,233.0,0.936729,4,1,0.899675,1,6.0,23,0,1,1
30,245.0,0.877779,5,1,0.904697,1,5.0,28,1,1,1
31,149.0,0.505405,2,1,0.451832,1,3.0,43,0,0,0
32,232.0,0.911595,4,2,0.805368,1,5.0,24,0,1,1
33,134.0,0.442766,2,2,0.379221,1,3.0,22,0,1,5
34,249.0,0.847301,4,1,0.909059,1,6.0,23,0,1,5
35,257.0,0.889916,5,1,0.857449,1,5.0,23,0,1,8
36,164.0,0.681106,3,1,0.765486,1,3.0,23,0,1,8
37,159.0,0.552437,2,1,0.467246,1,3.0,25,0,1,6
38,154.0,0.7184519938425691,2,2,0.440152,1,3.0,23,0,1,9
40,239.0,0.927427,5,2,0.783737,1,5.0,24,0,1,0
41,257.0,0.990937,5,1,0.751387,1,6.0,24,0,1,8
43,125.0,0.7184519938425691,3,2,0.6221810997968243,1,3.0,24,0,1,10
44,308.0,0.736991,7,1,0.0807958,1,4.0,49,0,0,2
45,239.0,0.906676,4,1,0.737457,1,5.0,25,0,1,8
46,306.0,0.830333,6,0,0.0674799,1,4.0,30,0,0,8
47,141.0,0.462141,2,1,0.435337,1,3.0,25,0,1,8
48,159.0,0.7184519938425691,2,0,0.375978,1,3.0,23,0,1,1
49,143.0,0.512455,2,2,0.484244,1,3.0,25,0,1,9
50,270.0,0.915772,5,2,0.871095,1,5.0,23,0,1,1
51,261.0,0.832946,6,1,0.115881,1,4.0,42,0,0,9
52,301.0,0.737223,4,1,0.464158,1,5.0,25,0,1,1
53,296.0,0.87755,7,1,0.136835,1,4.0,33,0,0,8
54,271.0,0.891916,5,1,0.179432,1,4.0,24,0,1,8
55,244.0,0.787106,6,1,0.113983,1,4.0,46,0,0,5
56,129.0,0.7184519938425691,2,1,0.447517,1,3.0,22,0,1,8
57,290.0,0.808025,6,2,0.059197,1,4.0,34,0,0,2
58,290.0,0.770248,6,2,0.0903428,1,4.0,46,0,0,1
59,249.0,0.997662,4,1,0.805852,1,5.0,22,0,1,9
60,151.0,0.506563,2,2,0.35549,1,3.0,23,0,1,1
61,225.0,0.893351,4,2,0.814574,1,5.0,23,0,1,8
62,253.0,1.0,5,2,0.852952,1,5.0,23,0,1,1
63,269.0,0.932009,6,2,0.0633131,1,4.0,47,0,0,2
64,274.0,0.944104,6,1,0.159258,1,4.0,25,0,1,1
65,155.0,0.536342,2,1,0.43599,1,3.0,36,0,0,5
66,255.0,0.917034,7,1,0.150519,1,4.0,33,1,0,9
67,149.0,0.607982,6,1,0.471637,1,4.0,31,0,0,7
68,271.0,0.64205,3,1,0.418694,1,4.0,22,0,1,8
69,268.0,0.922942,6,2,0.0650439,1,4.0,22,1,1,1
72,293.0,0.857715,6,1,0.141662,1,4.0,40,0,0,9
73,309.0,0.908443,7,1,0.1035,1,4.0,48,0,0,1
74,235.0,0.957642,5,1,0.725715,1,5.0,22,0,1,3
75,158.0,0.546333,2,1,0.391487,1,3.0,24,0,1,3
76,273.0,0.734583,3,1,0.520728,1,6.0,22,0,1,9
77,277.0,0.9496,2,2,0.723212,1,3.0,28,1,1,3
78,290.0,0.859528,7,1,0.127906,1,4.0,38,0,0,8
79,267.0,0.801303,5,2,0.858963,1,5.0,25,0,1,9
80,249.0,0.997918,4,2,0.811695,1,6.0,24,0,1,9
81,127.0,0.568392,2,1,0.455544,1,3.0,23,0,1,3
82,245.0,0.904587,4,1,0.724119,1,6.0,23,0,1,8
83,198.0,0.571508,5,1,0.63736,1,5.0,25,0,1,0
84,160.0,0.420976,2,1,0.375963,1,3.0,24,0,1,8
85,131.0,0.465087,2,1,0.465453,1,3.0,23,0,1,2
86,150.0,0.601995,2,1,0.44277,1,3.0,25,0,1,7
87,146.0,0.484583,2,1,0.471085,1,3.0,24,0,1,9
88,254.0,0.85053,6,1,0.0850537,1,5.0,41,0,0,9
89,152.0,0.506971,2,2,0.387467,1,3.0,22,0,1,5
90,151.0,0.438951,2,1,0.389023,1,3.0,22,0,1,7
91,135.0,0.540937,2,1,0.312896,1,5.0,22,0,1,8
92,236.0,0.896563,5,1,0.765251,1,6.0,25,0,1,7
93,158.0,0.7184519938425691,2,1,0.338341,1,3.0,24,0,1,9
94,145.0,0.502312,2,1,0.405199,1,3.0,49,1,0,8
95,160.0,0.508932,2,1,0.407259,1,3.0,23,0,1,8
96,279.0,0.79986,6,1,0.0985616,1,4.0,54,0,0,8
97,274.0,0.878575,5,2,0.79105,1,6.0,28,1,1,9
98,296.0,0.677557,2,2,0.467873,1,5.0,25,0,1,8
99,259.0,0.848992,6,2,0.178243,1,5.0,52,1,0,9
100,164.0,0.714642,4,1,0.524464,1,2.0,28,1,1,8
101,253.0,0.83395,6,2,0.145414,1,4.0,44,1,0,5
102,297.0,0.878721,6,0,0.104844,1,5.0,23,1,1,8
103,151.0,0.7184519938425691,2,1,0.42148,1,3.0,23,0,1,8
104,130.0,0.548987,2,2,0.422146,1,3.0,23,0,1,9
105,258.0,0.959213,4,2,0.944949,1,5.0,28,1,1,1
106,140.0,0.521566,2,1,0.461044,1,3.0,47,1,0,9
107,281.0,0.99766,6,2,0.107146,1,4.0,31,0,0,4
108,156.0,0.528929,2,0,0.312928,1,3.0,24,0,1,2
109,153.0,0.7184519938425691,2,1,0.356232,1,3.0,25,0,1,2
110,223.0,0.837597,5,1,0.738441,1,5.0,23,0,1,8
111,147.0,0.452001,2,1,0.34499,1,3.0,51,1,0,9
112,148.0,0.533172,2,1,0.36142,1,3.0,23,1,1,8
113,246.0,0.944761,4,1,0.928173,1,5.0,22,0,1,8
114,310.0,0.524456,5,2,0.414488,1,3.0,24,0,1,7
115,137.0,0.499013,2,2,0.504321,1,3.0,23,0,1,1
116,303.0,0.866422,5,2,0.0609863,1,5.0,22,0,1,2
117,151.0,0.522235,2,1,0.421082,1,3.0,25,0,1,4
118,150.0,0.531091,2,1,0.429583,1,3.0,24,0,1,9
119,239.0,0.82423,4,1,0.776066,1,6.0,25,0,1,3
120,202.0,0.7184519938425691,3,2,0.425503,1,3.0,23,0,1,8
121,279.0,0.807814,6,1,0.126932,1,4.0,46,0,0,8
122,127.0,0.516111,2,1,0.357358,1,3.0,22,0,1,3
123,136.0,0.48096,2,2,0.401807,1,3.0,24,0,1,8
124,274.0,0.574151,2,1,0.732505,1,4.0,22,1,1,8
125,156.0,0.498253,2,1,0.453624,1,3.0,24,0,1,8
126,261.0,0.878444,6,2,0.101731,1,4.0,32,0,0,3
127,136.0,0.53546,2,1,0.487851,1,3.0,22,0,1,8
128,287.0,0.918562,6,1,0.142113,1,4.0,39,0,0,1
129,218.0,0.85036,4,1,0.822958,1,5.0,39,1,0,3
130,172.0,0.7184519938425691,5,1,0.326353,1,2.0,25,0,1,8
131,305.0,0.881748,7,2,0.139059,1,4.0,37,0,0,1
132,291.0,0.819279,6,1,0.101794,1,4.0,47,0,0,8
134,243.0,0.923938,6,0,0.154765,1,4.0,33,0,0,7
135,256.0,0.962934,6,1,0.0798577,1,4.0,30,0,0,9
136,228.0,0.968112,5,1,0.75621,1,5.0,23,0,1,9
137,283.0,0.789851,7,1,0.128018,1,5.0,34,1,0,1
138,242.0,0.846659,5,2,0.772121,1,5.0,29,1,1,9
139,245.0,0.885296,5,1,0.817257,1,5.0,23,0,1,1
140,260.0,0.876539,5,2,0.872302,1,5.0,25,0,1,3
141,192.0,0.551225,7,1,0.210584,1,3.0,46,0,0,8
142,158.0,0.547159,2,1,0.358773,1,3.0,51,1,0,9
143,306.0,0.893635,6,1,0.166866,1,4.0,27,1,1,1
144,154.0,0.889985,3,2,0.401073,1,4.0,23,0,1,1
145,298.0,0.888568,6,1,0.14453,1,4.0,46,1,0,8
146,285.0,0.931751,7,1,0.0737981,1,4.0,41,0,0,3
147,260.0,0.895906,5,1,0.867948,1,5.0,23,0,1,9
148,159.0,0.7184519938425691,2,1,0.324768,1,3.0,26,1,1,7
149,156.0,0.419956,2,1,0.38645,1,3.0,25,0,1,8
150,147.0,0.582465,2,1,0.442294,1,3.0,23,0,1,9
151,247.0,0.876086,5,1,0.83846,1,5.0,23,0,1,1
152,246.0,0.855755,5,2,0.830533,1,5.0,26,1,1,8
153,216.0,1.0,4,1,0.753578,1,6.0,24,0,1,1
155,247.0,0.942873,7,2,0.144449,1,4.0,51,0,0,8
156,280.0,0.630177,2,1,0.327048,1,4.0,24,0,1,1
157,265.0,0.792833,4,1,0.920042,1,6.0,25,0,1,8
158,128.0,0.498708,2,2,0.423624,1,3.0,24,0,1,8
159,255.0,0.894924,7,2,0.17525,1,4.0,31,0,0,9
160,263.0,1.0,4,2,0.829606,1,6.0,22,0,1,1
161,255.0,0.930584,7,2,0.0806184,1,4.0,40,0,0,9
162,132.0,0.477055,2,2,0.495775,1,3.0,25,0,1,8
163,136.0,0.529917,2,1,0.377291,1,3.0,23,0,1,1
164,141.0,0.462154,2,1,0.466326,1,3.0,24,0,1,8
165,131.0,0.485783,2,1,0.349181,1,3.0,23,0,1,8
166,296.0,0.885543,7,2,0.09247,1,4.0,28,0,0,1
167,137.0,0.7184519938425691,2,1,0.418467,1,3.0,22,0,1,8
168,258.0,0.967462,2,1,0.667322,1,5.0,22,0,1,8
169,159.0,0.544412,2,2,0.422724,1,3.0,23,0,1,8
170,129.0,0.558944,2,2,0.469451,1,3.0,24,0,1,1
171,276.0,0.752432,5,1,0.115195,1,4.0,22,0,1,9
172,139.0,0.585351,2,1,0.475075,1,3.0,25,0,1,8
173,142.0,0.7184519938425691,2,1,0.447818,1,3.0,25,0,1,8
174,130.0,0.484567,2,1,0.455295,1,3.0,23,0,1,8
175,285.0,0.901575,6,1,0.131683,1,4.0,46,0,0,1
176,285.0,0.754973,6,2,0.0904151,1,4.0,50,0,0,2
177,309.0,0.876306,6,2,0.101742,1,4.0,36,0,0,8
178,263.0,0.887814,4,1,0.773491,1,5.0,22,0,1,9
179,276.0,0.902899,6,1,0.0961399,1,4.0,33,0,0,8
180,285.0,0.797767,7,2,0.125959,1,4.0,42,1,0,3
181,155.0,0.525671,2,1,0.381088,1,3.0,23,0,1,3
182,299.0,0.819308,6,1,0.129074,1,4.0,36,0,0,8
183,158.0,0.543576,2,1,0.35252,1,3.0,23,0,1,9
184,270.0,0.855482,4,1,0.884897,1,5.0,24,0,1,8
185,278.0,0.949239,6,1,0.0938494,1,4.0,50,0,0,5
187,282.0,0.676745,2,1,0.356162,1,5.0,25,0,1,5
188,247.0,0.516293,2,2,0.0597921,1,4.0,39,1,0,8
189,158.0,0.554521,2,1,0.365284,1,3.0,38,1,0,8
190,142.0,0.7184519938425691,2,2,0.484054,1,3.0,22,0,1,9
191,151.0,0.458269,2,2,0.381992,1,3.0,23,0,1,0
192,247.0,0.84342,4,1,0.813122,1,6.0,22,0,1,1
193,255.0,0.86191,6,1,0.135853,1,4.0,40,1,0,8
194,241.0,0.972069,5,2,0.786684,1,5.0,25,0,1,8
195,143.0,0.561972,2,1,0.415942,1,3.0,24,0,1,8
196,290.0,0.896066,7,1,0.101141,1,4.0,44,0,0,8
197,290.0,0.755191,7,1,0.080867,1,4.0,43,0,0,4
198,267.0,0.828781,5,1,0.789816,1,5.0,25,0,1,9
199,156.0,0.414742,2,1,0.361317,1,3.0,23,0,1,8
200,159.0,0.7184519938425691,2,1,0.405428,1,3.0,23,0,1,8
201,160.0,0.600898,2,2,0.40791,1,3.0,24,0,1,1
202,232.0,0.960754,4,1,0.884619,1,5.0,22,0,1,8
203,141.0,0.503339,2,1,0.501475,1,3.0,22,0,1,8
204,139.0,0.533964,2,1,0.385363,1,3.0,43,1,0,5
205,160.0,0.480823,2,1,0.398427,1,3.0,23,0,1,8
206,258.0,0.950414,2,1,0.652081,1,5.0,23,0,1,8
207,268.0,0.953886,6,1,0.169063,1,4.0,41,0,0,9
208,134.0,0.526204,2,1,0.388992,1,3.0,22,1,1,9
209,148.0,0.7184519938425691,2,1,0.430123,1,3.0,24,0,1,8
210,136.0,0.786735,5,1,0.0878727,1,2.0,22,0,1,1
211,137.0,0.543217,2,2,0.44207,1,3.0,24,0,1,3
213,157.0,0.503556,2,1,0.328297,1,3.0,22,0,1,8
214,280.0,0.839185,6,1,0.0702263,1,4.0,46,0,0,1
215,264.0,0.96353,5,2,0.74303,1,5.0,25,0,1,1
216,137.0,0.526296,2,2,0.455517,1,3.0,23,0,1,2
217,149.0,0.515149,2,0,0.42107,1,3.0,53,1,0,7
218,291.0,0.876973,6,1,0.0668486,1,4.0,41,0,0,7
219,254.0,0.547034,4,1,0.505422,1,4.0,24,0,1,8
220,158.0,0.512585,2,1,0.371049,1,3.0,25,0,1,8
221,138.0,0.520361,2,2,0.403928,1,3.0,25,0,1,5
222,153.0,0.536117,2,1,0.36667,1,3.0,43,0,0,9
223,278.0,0.815264,6,0,0.0792939,1,4.0,41,0,0,1
224,159.0,0.597303,2,2,0.417487,1,3.0,23,0,1,8
225,154.0,0.607358,2,1,0.417173,1,3.0,23,0,1,8
227,156.0,0.454041,2,2,0.400145,1,3.0,22,0,1,4
228,280.0,0.957407,6,1,0.158427,1,4.0,37,1,0,9
229,249.0,0.697713,3,2,0.781751,1,5.0,50,1,0,5
230,224.0,0.469179,7,2,0.19819,1,5.0,39,0,0,2
231,160.0,0.426595,2,2,0.3736,1,3.0,24,0,1,5
232,273.0,0.850542,4,1,0.811183,1,5.0,24,0,1,4
233,143.0,0.562405,2,2,0.420525,1,3.0,25,0,1,1
234,298.0,0.965138,6,1,0.0946862,1,4.0,26,1,1,8
235,239.0,1.0,5,1,0.843067,1,6.0,24,0,1,5
236,251.0,0.944582,4,2,0.829317,1,5.0,25,0,1,5
237,160.0,0.492099,2,1,0.363487,1,3.0,28,0,0,8
238,140.0,0.536804,2,2,0.376617,1,3.0,24,0,1,1
240,142.0,0.538917,2,1,0.355897,1,3.0,23,0,1,8
241,260.0,0.513827,4,2,0.588318,1,3.0,22,0,1,8
242,290.0,0.76584,6,2,0.0827398,1,5.0,31,0,0,1
243,245.0,0.835256,5,1,0.829798,1,5.0,25,0,1,8
244,124.0,0.7184519938425691,3,1,0.6221810997968243,1,3.0,25,0,1,10
245,289.0,0.852163,7,1,0.0703123,1,4.0,51,0,0,8
246,257.0,1.0,5,2,0.886461,1,5.0,22,0,1,2
247,233.0,1.0,4,1,0.714841,1,5.0,25,0,1,3
248,269.0,0.797653,6,1,0.071595,1,4.0,27,0,0,3
250,119.0,0.7184519938425691,2,2,0.6221810997968243,1,3.0,22,0,1,10
251,248.0,1.0,5,2,0.836733,1,5.0,24,0,1,7
252,261.0,0.828202,6,2,0.153197,1,4.0,26,0,0,2
253,218.0,0.971004,4,1,0.75095,1,5.0,22,0,1,8
254,172.0,0.7184519938425691,5,1,0.383471,1,2.0,47,1,0,8
255,270.0,0.822992,5,2,0.777664,1,5.0,23,0,1,9
256,257.0,0.797304,6,1,0.114947,1,4.0,50,0,0,9
257,128.0,0.517344,2,1,0.390653,1,3.0,23,0,1,8
258,151.0,0.545662,2,1,0.380905,1,3.0,43,1,0,3
259,145.0,0.538776,2,1,0.33669,1,3.0,23,0,1,3
260,135.0,0.527794,2,1,0.341672,1,3.0,24,0,1,3
261,304.0,0.82532,6,1,0.115863,1,4.0,31,0,0,1
262,136.0,0.546984,2,1,0.318171,1,3.0,25,0,1,3
263,132.0,0.520296,2,2,0.374531,1,3.0,25,0,1,1
264,248.0,1.0,5,2,0.700604,1,5.0,24,0,1,9
265,141.0,0.529515,2,1,0.394023,1,3.0,24,0,1,8
266,132.0,0.571622,5,1,0.301249,1,5.0,25,0,1,8
267,147.0,0.7184519938425691,2,1,0.475132,1,3.0,25,0,1,8
268,149.0,0.517082,2,1,0.428383,1,3.0,23,0,1,9
269,129.0,0.7184519938425691,2,1,0.488907,1,3.0,40,0,0,4
270,151.0,0.498054,2,1,0.385963,1,3.0,23,0,1,8
