,avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id,age,gender,marital_status,dept_id,dept_name,dept_head
0,246.0,,0.866838,6,,medium,0.134415,Left,4.0,124467,42,Female,Married,,,
1,134.0,,0.555718,2,,low,0.511041,Left,3.0,112210,23,Female,Unmarried,,,
2,156.0,1.0,0.474082,2,,medium,0.405101,Left,3.0,126150,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
3,256.0,,0.96136,6,,low,0.152974,Left,4.0,125346,51,Female,Married,D00-SP,Support,Amelia Westray
4,146.0,,0.507349,2,,medium,0.434845,Left,3.0,113707,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
5,135.0,,0.482184,2,,low,0.381545,Left,3.0,121685,23,Female,Unmarried,D00-MT,Marketing,Reuben Swann
6,270.0,,0.867087,6,,low,0.172575,Left,4.0,119912,24,Female,Unmarried,D00-PD,Product,Darcy Staines
7,244.0,,0.926197,6,,medium,0.0618684,Left,5.0,112868,29,Female,Married,D00-IT,IT,Henry Adey
8,289.0,,0.929858,7,,low,0.161744,Left,4.0,122314,36,Female,Married,D00-IT,IT,Henry Adey
9,281.0,,0.907965,6,,medium,0.105749,Left,4.0,122394,50,Female,Married,D00-SS,Sales,Edward J Bayley
10,269.0,,0.867086,6,,low,0.121133,Left,4.0,119750,29,Male,Unmarried,D00-SP,Support,Amelia Westray
11,267.0,,0.953585,5,,low,0.87131,Left,6.0,119512,23,Female,Unmarried,D00-SP,Support,Amelia Westray
12,257.0,,0.886631,5,,low,0.265318,Left,5.0,118061,36,Male,Married,D00-AD,Admin,Evelyn Tolson
13,155.0,,0.521682,2,,low,0.387475,Left,3.0,111718,22,Female,Unmarried,D00-MT,Marketing,Reuben Swann
14,269.0,,0.959077,4,,medium,0.960757,Left,5.0,126860,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
15,244.0,,0.943946,7,,medium,0.171328,Left,4.0,117404,44,Female,Married,D00-MN,Management,Ellie Trafton
16,256.0,,0.897617,5,,medium,0.753731,Left,5.0,110655,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
17,128.0,,0.504768,2,,medium,0.485149,Left,3.0,111708,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
18,274.0,,1.0,5,,low,0.799562,Left,5.0,124926,24,Female,Unmarried,D00-PD,Product,Darcy Staines
19,155.0,,0.440299,2,,low,0.415771,Left,3.0,128624,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
20,151.0,,0.448019,2,,low,0.42688,Left,3.0,125108,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
21,127.0,,,2,,low,0.370515,Left,3.0,114322,24,Male,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
22,151.0,,0.531487,2,,low,0.390047,Left,3.0,111365,33,Male,Married,D00-MT,Marketing,Reuben Swann
23,132.0,,0.566959,5,,low,0.293481,Left,5.0,123197,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
24,128.0,,0.499776,2,,low,0.335383,Left,3.0,113448,25,Male,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
25,155.0,,0.464598,2,,medium,0.414451,Left,3.0,127792,23,Female,Unmarried,,,
26,309.0,,0.78484,6,,low,0.0785233,Left,4.0,127317,52,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
27,130.0,,0.463049,2,,low,0.401826,Left,3.0,119126,24,Female,Unmarried,D00-MT,Marketing,Reuben Swann
28,156.0,,,2,,medium,0.465747,Left,3.0,128509,25,Female,Unmarried,,,
29,233.0,,0.936729,4,,low,0.899675,Left,6.0,120875,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
30,245.0,,0.877779,5,,low,0.904697,Left,5.0,115993,28,Male,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
31,149.0,,0.505405,2,,low,0.451832,Left,3.0,111875,43,Female,Married,D00-AD,Admin,Evelyn Tolson
32,232.0,,0.911595,4,,medium,0.805368,Left,5.0,115848,24,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
33,134.0,,0.442766,2,,medium,0.379221,Left,3.0,125664,22,Female,Unmarried,D00-MT,Marketing,Reuben Swann
34,249.0,,0.847301,4,,low,0.909059,Left,6.0,126241,23,Female,Unmarried,D00-MT,Marketing,Reuben Swann
35,257.0,,0.889916,5,,low,0.857449,Left,5.0,114810,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
36,164.0,,0.681106,3,,low,0.765486,Left,3.0,122449,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
37,159.0,,0.552437,2,,low,0.467246,Left,3.0,120537,25,Female,Unmarried,D00-PR,Procurement,Louie Viles
38,154.0,,,2,1.0,medium,0.440152,Left,3.0,110293,23,Female,Unmarried,D00-SP,Support,Amelia Westray
39,233.0,,0.965382,5,,medium,0.962314,Left,5.0,125077,22,Female,Unmarried,,,
