avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure,employee_id
134,D00-IT,,0.528841135,2,,low,0.4004640146,3,119045
221,D00-PD,,0.78456091,2,,low,0.7595131562,3,112223
156,D00-SS,,0.5451831253,2,,medium,0.3364573114,3,103924
133,D00-PR,,,4,,medium,0.8320388898,2,105922
135,D00-SS,,0.4546373587,2,,low,0.3207231912,5,103297
157,D00-FN,,0.5707667431,4,,low,0.8104827119,3,115525
153,D00-MT,,0.6752630714,2,,low,0.6114116001,3,116409
264,D00-PD,1,,4,,low,0.4455563739,2,109427
179,D00-FN,,,5,,low,0.5343356593,3,118590
169,D00-MT,,0.7823102696,3,,low,0.9490860486,3,107075
115,D00-MT,1,0.396800981,5,,high,0.1160544613,6,101173
258,D00-MN,,0.8343057778,6,,low,0.1155862176,4,127419
129,D00-ENG,,0.5704133469,2,,high,0.4543071089,3,109575
176,D00-IT,,0.9004462364,3,,medium,0.8066625461,2,115834
237,D00-SP,,0.7502471898,5,1,medium,0.598285089,2,119963
135,D00-SS,1,0.9467149672,5,,low,0.9757752078,3,107449
157,D00-SS,,0.5264561291,2,,low,0.4681321838,3,115767
225,D00-MN,,0.6815663056,2,,high,0.5778202658,10,114678
204,D00-SS,1,0.9187365524,3,,low,0.7689374508,2,104384
158,D00-MT,,0.8297998343,3,,medium,0.9006198325,7,113998
224,D00-SS,,0.982094752,5,,low,0.8477406538,5,115060
127,D00-SS,,0.5632508036,2,,low,0.3573394839,3,106141
104,D00-TP,1,,2,,low,,,102113
101,D00-SS,,0.7745857948,5,,medium,0.8021553372,5,103723
151,,1,,2,,low,0.3988274358,3,100400
265,-IT,,0.7291775644,5,,low,0.7959978679,3,106597
232,D00-SS,,0.7691955537,5,,medium,0.6427229442,7,105299
139,D00-SS,,,4,,medium,0.8312892083,2,103740
241,D00-SS,,0.9605411578,5,,low,0.7349444626,5,127312
254,D00-MN,,0.7856315958,4,,high,0.4995584553,10,100564
165,D00-ENG,,,4,,low,0.5324192633,3,107811
189,D00-SS,,0.9873788032,3,,medium,0.7117823966,3,100646
227,D00-PD,,0.5815954918,4,,low,0.8557656911,3,109852
221,D00-PD,1,0.9635498914,5,,medium,1,3,118666
218,D00-FN,,0.6676013004,3,,medium,0.7514952052,3,112180
164,,,0.713505881,4,,low,0.5392138615,2,100787
129,D00-ENG,,0.6035568636,5,,medium,0.4852129833,5,107726
263,D00-IT,,0.9209368079,6,,low,0.07820632526,4,113851
249,D00-SP,,0.5095069953,4,,medium,0.5541021842,3,115282
247,D00-MT,,0.9275576891,3,,low,0.9077345025,4,105654
289,D00-SP,1,0.8914171099,6,,low,0.05558326012,4,100405
240,D00-SS,,0.7937099389,4,,medium,0.8003142277,5,123181
250,D00-AD,,0.7408596188,5,1,medium,0.5343231252,2,106100
166,D00-SP,,0.8057135495,2,,medium,0.5579756729,4,116407
196,D00-FN,,0.8065433835,4,,medium,0.7120546924,2,110213
225,D00-SS,,0.9539448169,5,,high,0.8818127284,4,116010
135,D00-PD,,0.5315223932,2,,medium,0.4045214332,3,138635
194,D00-SP,1,,3,,medium,0.5933261823,2,109241
272,D00-SS,,0.9603494374,4,,medium,0.5401674662,2,111864
267,D00-SP,,0.5384195848,4,,medium,0.5753360463,4,116431
217,D00-MN,,0.9462642473,4,,low,0.9524019152,2,110559
206,D00-SS,,,5,,low,0.6825282511,3,105027
273,D00-IT,,0.7279677568,2,,high,0.6130271374,2,101272
261,D00-ENG,,0.8203276501,4,,medium,1,2,113568
224,D00-SS,,0.6223102196,6,,medium,0.1793382334,3,112855
224,D00-ENG,,0.6557696625,5,,low,0.8501647404,2,109599
224,D00-SS,,0.914139558,4,,medium,0.6325511528,2,102397
134,D00-ENG,,0.6711284718,4,,medium,0.8647479386,2,119115
150,D00-SS,,,4,1,high,0.8334442037,3,134126
275,D00-SS,,0.9854115724,5,,low,0.7347252908,5,121900
132,D00-TP,1,,2,,low,,,102998
149,D00-FN,1,0.4970469484,2,,medium,0.4455906746,3,103805
159,D00-SS,,,2,,medium,0.4028471531,3,100365
158,D00-SP,,0.8202267693,5,,low,0.7702258398,2,108576
285,D00-SP,,0.970986864,6,,medium,0.05151509964,4,114361
255,D00-MN,,0.7442266962,6,,low,0.1677315316,4,113694
157,D00-IT,,0.7338581319,5,,low,0.9214449427,3,102301
251,D00-ENG,,0.8269681499,6,,medium,0.1535754965,4,121406
212,D00-MT,,0.7395207568,4,,medium,0.9915813098,2,145105
243,D00-SS,,1,5,,medium,0.8728689934,6,106890
140,D00-ENG,,0.408951051,6,,high,0.4952504949,3,117431
269,D00-IT,,0.490003446,4,,medium,0.8902713491,2,101534
147,D00-SS,,0.6727888301,3,,medium,0.737598859,2,110456
255,D00-IT,,0.5567448791,3,,medium,0.7704515128,5,104576
158,D00-ENG,,,2,,low,0.4905237735,3,117933
155,D00-SS,,0.9804438377,2,,low,0.6478002857,5,117781
234,D00-SP,,0.7767537735,4,,low,0.5906668627,3,119721
240,D00-SS,,0.5083205857,5,,medium,0.707250235,2,100230
252,D00-SP,,0.9024689989,3,,low,0.4945555063,2,117030
109,D00-IT,,0.9810020379,3,,medium,0.6625096191,4,112360
278,D00-ENG,,0.5332660903,7,,low,0.2510634382,3,124246
143,D00-SP,,,2,,medium,0.4230305523,3,117804
188,D00-SS,,,6,,medium,0.1390590096,3,109658
245,-IT,,1,4,,medium,0.8788779157,6,107490
254,D00-ENG,,0.8452134969,3,,medium,0.8956915975,3,110555
190,D00-SP,,0.6720381773,3,,low,0.7684465444,3,133022
206,D00-MT,,,3,,medium,1,2,109383
268,D00-SP,,0.6947379642,4,,medium,0.8408283057,2,144357
173,D00-ENG,,0.7259639782,2,,medium,0.4523923978,2,104120
253,D00-ENG,1,0.8203675298,5,,low,0.82622765,3,136286
151,D00-ENG,,0.5240638905,2,,medium,0.3234508937,3,112200
128,D00-FN,,0.5332225114,2,,high,0.4770015433,3,123320
68,D00-TP,,,1,,low,,,114160
274,D00-ENG,,1,4,,low,0.9301294491,6,119725
