,avg_monthly_hrs,last_evaluation,n_projects,salary,satisfaction,status,tenure,age,gender,marital_status,dept_name
2,156.0,0.474082,2,2,0.405101,1,3.0,24.0,0,1,8
3,256.0,0.96136,6,1,0.152974,1,4.0,51.0,0,0,9
4,146.0,0.507349,2,2,0.434845,1,3.0,23.0,0,1,8
5,135.0,0.482184,2,1,0.381545,1,3.0,23.0,0,1,5
6,270.0,0.867087,6,1,0.172575,1,4.0,24.0,0,1,7
7,244.0,0.926197,6,2,0.0618684,1,5.0,29.0,0,0,3
8,289.0,0.929858,7,1,0.161744,1,4.0,36.0,0,0,3
9,281.0,0.907965,6,2,0.105749,1,4.0,50.0,0,0,8
10,269.0,0.867086,6,1,0.121133,1,4.0,29.0,1,1,9
11,267.0,0.953585,5,1,0.87131,1,6.0,23.0,0,1,9
12,257.0,0.886631,5,1,0.265318,1,5.0,36.0,1,0,0
13,155.0,0.521682,2,1,0.387475,1,3.0,22.0,0,1,5
14,269.0,0.959077,4,2,0.960757,1,5.0,25.0,0,1,8
15,244.0,0.943946,7,2,0.171328,1,4.0,44.0,0,0,4
16,256.0,0.897617,5,2,0.753731,1,5.0,24.0,0,1,8
17,128.0,0.504768,2,2,0.485149,1,3.0,22.0,0,1,8
18,274.0,1.0,5,1,0.799562,1,5.0,24.0,0,1,7
19,155.0,0.440299,2,1,0.415771,1,3.0,25.0,0,1,8
20,151.0,0.448019,2,1,0.42688,1,3.0,25.0,0,1,8
21,127.0,0.7184519938425691,2,1,0.370515,1,3.0,24.0,1,1,1
22,151.0,0.531487,2,1,0.390047,1,3.0,33.0,1,0,5
23,132.0,0.566959,5,1,0.293481,1,5.0,25.0,0,1,8
24,128.0,0.499776,2,1,0.335383,1,3.0,25.0,1,1,1
26,309.0,0.78484,6,1,0.0785233,1,4.0,52.0,0,0,1
27,130.0,0.463049,2,1,0.401826,1,3.0,24.0,0,1,5
29,233.0,0.936729,4,1,0.899675,1,6.0,23.0,0,1,1
30,245.0,0.877779,5,1,0.904697,1,5.0,28.0,1,1,1
31,149.0,0.505405,2,1,0.451832,1,3.0,43.0,0,0,0
32,232.0,0.911595,4,2,0.805368,1,5.0,24.0,0,1,1
33,134.0,0.442766,2,2,0.379221,1,3.0,22.0,0,1,5
35,249.0,0.847301,4,1,0.909059,1,6.0,23.0,0,1,5
36,257.0,0.889916,5,1,0.857449,1,5.0,23.0,0,1,8
37,164.0,0.681106,3,1,0.765486,1,3.0,23.0,0,1,8
38,159.0,0.552437,2,1,0.467246,1,3.0,25.0,0,1,6
39,154.0,0.7184519938425691,2,2,0.440152,1,3.0,23.0,0,1,9
41,239.0,0.927427,5,2,0.783737,1,5.0,24.0,0,1,0
42,257.0,0.990937,5,1,0.751387,1,6.0,24.0,0,1,8
44,125.0,0.7184519938425691,3,2,0.6221810997968243,1,3.0,24.0,0,1,10
45,308.0,0.736991,7,1,0.0807958,1,4.0,49.0,0,0,2
46,239.0,0.906676,4,1,0.737457,1,5.0,25.0,0,1,8
47,306.0,0.830333,6,0,0.0674799,1,4.0,30.0,0,0,8
48,141.0,0.462141,2,1,0.435337,1,3.0,25.0,0,1,8
49,159.0,0.7184519938425691,2,0,0.375978,1,3.0,23.0,0,1,1
50,143.0,0.512455,2,2,0.484244,1,3.0,25.0,0,1,9
51,270.0,0.915772,5,2,0.871095,1,5.0,23.0,0,1,1
52,261.0,0.832946,6,1,0.115881,1,4.0,42.0,0,0,9
53,301.0,0.737223,4,1,0.464158,1,5.0,25.0,0,1,1
54,296.0,0.87755,7,1,0.136835,1,4.0,33.0,0,0,8
55,271.0,0.891916,5,1,0.179432,1,4.0,24.0,0,1,8
56,244.0,0.787106,6,1,0.113983,1,4.0,46.0,0,0,5
57,129.0,0.7184519938425691,2,1,0.447517,1,3.0,22.0,0,1,8
58,290.0,0.808025,6,2,0.059197,1,4.0,34.0,0,0,2
59,290.0,0.770248,6,2,0.0903428,1,4.0,46.0,0,0,1
60,249.0,0.997662,4,1,0.805852,1,5.0,22.0,0,1,9
61,151.0,0.506563,2,2,0.35549,1,3.0,23.0,0,1,1
62,225.0,0.893351,4,2,0.814574,1,5.0,23.0,0,1,8
63,253.0,1.0,5,2,0.852952,1,5.0,23.0,0,1,1
64,269.0,0.932009,6,2,0.0633131,1,4.0,47.0,0,0,2
65,274.0,0.944104,6,1,0.159258,1,4.0,25.0,0,1,1
66,155.0,0.536342,2,1,0.43599,1,3.0,36.0,0,0,5
67,255.0,0.917034,7,1,0.150519,1,4.0,33.0,1,0,9
68,149.0,0.607982,6,1,0.471637,1,4.0,31.0,0,0,7
69,271.0,0.64205,3,1,0.418694,1,4.0,22.0,0,1,8
70,268.0,0.922942,6,2,0.0650439,1,4.0,22.0,1,1,1
73,293.0,0.857715,6,1,0.141662,1,4.0,40.0,0,0,9
74,309.0,0.908443,7,1,0.1035,1,4.0,48.0,0,0,1
75,235.0,0.957642,5,1,0.725715,1,5.0,22.0,0,1,3
76,158.0,0.546333,2,1,0.391487,1,3.0,24.0,0,1,3
77,273.0,0.734583,3,1,0.520728,1,6.0,22.0,0,1,9
78,277.0,0.9496,2,2,0.723212,1,3.0,28.0,1,1,3
79,290.0,0.859528,7,1,0.127906,1,4.0,38.0,0,0,8
80,267.0,0.801303,5,2,0.858963,1,5.0,25.0,0,1,9
81,249.0,0.997918,4,2,0.811695,1,6.0,24.0,0,1,9
82,127.0,0.568392,2,1,0.455544,1,3.0,23.0,0,1,3
83,245.0,0.904587,4,1,0.724119,1,6.0,23.0,0,1,8
84,198.0,0.571508,5,1,0.63736,1,5.0,25.0,0,1,0
85,160.0,0.420976,2,1,0.375963,1,3.0,24.0,0,1,8
86,131.0,0.465087,2,1,0.465453,1,3.0,23.0,0,1,2
87,150.0,0.601995,2,1,0.44277,1,3.0,25.0,0,1,7
88,146.0,0.484583,2,1,0.471085,1,3.0,24.0,0,1,9
89,254.0,0.85053,6,1,0.0850537,1,5.0,41.0,0,0,9
90,152.0,0.506971,2,2,0.387467,1,3.0,22.0,0,1,5
91,151.0,0.438951,2,1,0.389023,1,3.0,22.0,0,1,7
92,135.0,0.540937,2,1,0.312896,1,5.0,22.0,0,1,8
93,236.0,0.896563,5,1,0.765251,1,6.0,25.0,0,1,7
94,158.0,0.7184519938425691,2,1,0.338341,1,3.0,24.0,0,1,9
95,145.0,0.502312,2,1,0.405199,1,3.0,49.0,1,0,8
