,employee_id,age,gender,marital_status
0,113558,43,Male,Married
1,112256,24,Female,Unmarried
2,112586,22,Female,Unmarried
3,108071,36,Male,Married
4,116915,38,Male,Married
5,104555,22,Male,Unmarried
6,104706,51,Male,Married
7,118536,54,Male,Married
8,111712,43,Male,Married
9,119150,49,Male,Married
10,109162,37,Male,Married
11,105251,27,Male,Unmarried
12,104544,43,Female,Married
13,102700,47,Male,Married
14,113732,28,Male,Unmarried
15,108147,53,Male,Married
16,110690,28,Male,Unmarried
17,115701,24,Male,Unmarried
18,108054,39,Male,Married
19,116648,43,Male,Married
20,102076,35,Female,Married
21,114178,42,Male,Married
22,106163,22,Male,Unmarried
23,102212,49,Male,Married
24,109063,38,Male,Married
25,115820,40,Female,Married
26,106779,23,Female,Unmarried
27,115751,23,Female,Unmarried
28,100258,22,Male,Unmarried
29,106928,27,Male,Unmarried
30,114114,45,Female,Married
31,100745,24,Female,Unmarried
32,106575,25,Male,Unmarried
33,106011,30,Male,Married
34,101543,47,Male,Married
35,121359,25,Female,Unmarried
36,118103,51,Female,Married
37,105165,37,Male,Married
38,109291,51,Male,Married
39,111129,22,Female,Unmarried
40,110538,24,Female,Unmarried
41,110339,23,Female,Unmarried
42,114826,23,Female,Unmarried
43,135194,34,Female,Married
44,105415,26,Male,Unmarried
45,113801,44,Male,Married
46,107371,25,Female,Unmarried
47,100883,40,Female,Married
48,101222,36,Male,Married
49,109202,24,Female,Unmarried
50,102247,52,Male,Married
51,101499,31,Female,Married
52,100868,24,Female,Unmarried
53,118910,27,Male,Unmarried
54,104951,22,Male,Unmarried
55,109819,32,Male,Married
56,113517,51,Female,Married
57,117096,25,Male,Unmarried
58,110888,42,Male,Married
59,109783,43,Male,Married
60,113744,39,Female,Married
61,117014,33,Male,Married
62,101644,25,Male,Unmarried
63,107763,51,Male,Married
64,126572,47,Female,Married
65,101109,44,Female,Married
66,113239,27,Male,Unmarried
67,108314,24,Female,Unmarried
68,112702,34,Male,Married
69,112008,36,Female,Married
70,104311,25,Male,Unmarried
71,107675,38,Male,Married
72,106419,44,Male,Married
73,102113,25,Female,Unmarried
74,122644,29,Female,Married
75,129463,24,Female,Unmarried
76,119781,26,Male,Unmarried
77,117646,34,Male,Married
78,106142,29,Male,Unmarried
79,112263,33,Male,Married
80,111268,25,Female,Unmarried
81,102172,25,Female,Unmarried
82,115399,45,Male,Married
83,111760,25,Male,Unmarried
84,103698,38,Male,Married
85,128624,25,Female,Unmarried
86,102266,39,Male,Married
87,106640,24,Male,Unmarried
88,108402,37,Male,Married
89,113430,28,Male,Unmarried
90,112069,23,Female,Unmarried
91,105021,38,Female,Married
92,106612,37,Male,Married
93,131426,29,Male,Married
94,103271,33,Male,Married
95,113867,23,Female,Unmarried
96,112203,45,Male,Married
97,105490,26,Male,Unmarried
98,109033,53,Male,Married
99,107620,30,Male,Married
100,118210,27,Male,Unmarried
101,122572,25,Female,Unmarried
102,120715,22,Female,Unmarried
103,107957,53,Male,Married
104,139834,40,Male,Married
105,146220,41,Female,Married
106,111267,23,Male,Unmarried
107,115335,41,Male,Married
108,108799,23,Male,Unmarried
109,100247,25,Male,Unmarried
110,104254,27,Male,Unmarried
111,119283,46,Male,Married
112,103621,34,Male,Married
113,125014,22,Female,Unmarried
114,100385,44,Male,Married
115,112274,30,Male,Married
116,119983,24,Male,Unmarried
117,100777,26,Male,Unmarried
118,112669,28,Male,Unmarried
119,115694,26,Male,Unmarried
120,117486,33,Male,Married
121,116281,23,Female,Unmarried
122,134467,22,Male,Unmarried
123,108518,27,Male,Unmarried
124,122448,22,Female,Unmarried
125,147049,35,Female,Married
126,119730,26,Male,Unmarried
127,106113,28,Male,Unmarried
128,117143,29,Male,Unmarried
129,120768,23,Female,Unmarried
130,125909,24,Female,Unmarried
131,119296,27,Male,Unmarried
132,114489,41,Male,Married
