ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,25,1,49,4,1.6,1,0,0,1,0,0,0
2,45,19,34,3,1.5,1,0,0,1,0,0,0
3,39,15,11,1,1,1,0,0,0,0,0,0
4,35,9,100,1,2.7,2,0,0,0,0,0,0
5,35,8,45,4,1,2,0,0,0,0,0,1
6,37,13,29,4,0.4,2,155,0,0,0,1,0
7,53,27,72,2,1.5,2,0,0,0,0,1,0
8,50,24,22,1,0.3,3,0,0,0,0,0,1
9,35,10,81,3,0.6,2,104,0,0,0,1,0
10,34,9,180,1,8.9,3,0,1,0,0,0,0
11,65,39,105,4,2.4,3,0,0,0,0,0,0
12,29,5,45,3,0.1,2,0,0,0,0,1,0
13,48,23,114,2,3.8,3,0,0,1,0,0,0
14,59,32,40,4,2.5,2,0,0,0,0,1,0
15,67,41,112,1,2,1,0,0,1,0,0,0
16,60,30,22,1,1.5,3,0,0,0,0,1,1
17,38,14,130,4,4.7,3,134,1,0,0,0,0
18,42,18,81,4,2.4,1,0,0,0,0,0,0
19,46,21,193,2,8.1,3,0,1,0,0,0,0
20,55,28,21,1,0.5,2,0,0,1,0,0,1
21,56,31,25,4,0.9,2,111,0,0,0,1,0
22,57,27,63,3,2,3,0,0,0,0,1,0
23,29,5,62,1,1.2,1,260,0,0,0,1,0
24,44,18,43,2,0.7,1,163,0,1,0,0,0
25,36,11,152,2,3.9,1,159,0,0,0,0,1
26,43,19,29,3,0.5,1,97,0,0,0,1,0
27,40,16,83,4,0.2,3,0,0,0,0,0,0
28,46,20,158,1,2.4,1,0,0,0,0,1,1
29,56,30,48,1,2.2,3,0,0,0,0,1,1
30,38,13,119,1,3.3,2,0,1,0,1,1,1
31,59,35,35,1,1.2,3,122,0,0,0,1,0
32,40,16,29,1,2,2,0,0,0,0,1,0
33,53,28,41,2,0.6,3,193,0,0,0,0,0
34,30,6,18,3,0.9,3,0,0,0,0,0,0
35,31,5,50,4,1.8,3,0,0,0,0,1,0
36,48,24,81,3,0.7,1,0,0,0,0,0,0
37,59,35,121,1,2.9,1,0,0,0,0,0,1
38,51,25,71,1,1.4,3,198,0,0,0,0,0
39,42,18,141,3,5,3,0,1,1,1,1,0
40,38,13,80,4,0.7,3,285,0,0,0,1,0
41,57,32,84,3,1.6,3,0,0,1,0,0,0
42,34,9,60,3,2.3,1,0,0,0,0,0,0
43,32,7,132,4,1.1,2,412,1,0,0,1,0
44,39,15,45,1,0.7,1,0,0,0,0,1,0
45,46,20,104,1,5.7,1,0,0,0,0,1,1
46,57,31,52,4,2.5,1,0,0,0,0,0,1
47,39,14,43,3,0.7,2,153,0,0,0,1,0
48,37,12,194,4,0.2,3,211,1,1,1,1,1
49,56,26,81,2,4.5,3,0,0,0,0,0,1
50,40,16,49,1,1.8,1,0,0,0,0,0,1
51,32,8,8,4,0.7,2,0,0,1,0,1,0
52,61,37,131,1,2.9,1,0,0,0,0,1,0
53,30,6,72,1,0.1,1,207,0,0,0,0,0
54,50,26,190,3,2.1,3,240,1,0,0,1,0
55,29,5,44,1,0.2,3,0,0,0,0,1,0
56,41,17,139,2,8,1,0,0,0,0,1,0
57,55,30,29,3,0.1,2,0,0,1,1,1,0
58,56,31,131,2,1.2,3,0,1,0,0,0,0
59,28,2,93,2,0.2,1,0,0,0,0,0,0
60,31,5,188,2,4.5,1,455,0,0,0,0,0
61,49,24,39,3,1.7,2,0,0,1,0,1,0
62,47,21,125,1,5.7,1,112,0,1,0,0,0
63,42,18,22,1,1,1,0,0,0,0,0,0
64,42,17,32,4,0,2,0,0,0,0,1,0
65,47,23,105,2,3.3,1,0,0,0,0,0,0
66,59,35,131,1,3.8,1,0,0,0,0,1,1
67,62,36,105,2,2.8,1,336,0,0,0,0,0
68,53,23,45,4,2,3,132,0,1,0,0,0
69,47,21,60,3,2.1,1,0,0,0,0,1,1
70,53,29,20,4,0.2,1,0,0,0,0,1,0
71,42,18,115,1,3.5,1,0,0,0,0,0,1
72,53,29,69,4,1,2,0,0,0,0,1,0
73,44,20,130,1,5,1,0,0,0,0,0,1
74,41,16,85,1,4,3,0,0,0,0,1,1
75,28,3,135,2,3.3,1,0,0,0,0,0,1
76,31,7,135,4,3.8,2,0,1,0,1,1,1
77,58,32,12,3,0.3,3,0,0,0,0,0,0
78,46,20,29,3,0.5,2,0,0,0,0,0,0
79,54,30,133,2,2.6,3,0,1,0,0,0,0
80,50,26,19,2,0.4,1,118,0,0,0,1,0
81,60,36,41,4,1.3,1,174,0,0,0,1,1
82,47,22,40,3,2.7,2,0,0,0,0,1,0
83,41,16,82,1,4,3,0,0,0,0,1,0
84,33,9,50,1,2.4,2,0,0,0,0,0,0
85,46,22,18,1,0.9,3,0,0,0,0,1,0
86,27,2,109,4,1.8,3,0,0,0,0,0,0
87,40,16,42,4,2.2,2,126,0,0,0,0,0
88,48,22,78,3,1.1,1,0,0,0,0,1,0
89,65,41,51,2,1.1,1,0,0,0,0,1,0
90,25,-1,113,4,2.3,3,0,0,0,0,0,1
91,55,30,118,4,5.6,2,0,1,0,0,1,0
92,35,10,29,4,1.1,3,0,0,0,0,1,0
93,43,19,34,3,0.6,2,0,0,0,0,0,0
94,60,34,64,2,1.7,3,236,0,1,0,1,0
95,65,39,121,1,2,1,0,0,0,0,0,0
96,38,12,48,4,0.2,3,0,0,0,0,1,0
97,41,15,80,1,5.2,1,0,0,0,0,0,0
98,54,28,161,1,2.9,1,0,0,0,0,1,0
99,49,23,94,1,0.3,1,0,0,0,0,1,0
100,66,41,15,3,0.1,3,0,0,0,0,1,0
101,48,23,74,1,1.2,1,0,0,0,0,1,0
102,61,36,30,3,1.3,2,0,0,0,0,0,0
103,53,23,44,3,1,3,198,0,0,0,1,1
104,43,18,22,2,0.3,2,0,0,0,0,1,0
105,56,32,38,4,1.3,1,166,0,0,0,1,1
106,24,0,35,3,0.1,2,0,0,1,0,1,0
107,43,17,69,4,2.9,1,0,0,0,0,1,1
108,42,18,43,1,0.7,1,136,0,0,0,0,0
109,33,7,32,1,0.6,3,166,0,0,0,1,0
110,43,17,49,1,2.8,1,0,0,0,0,1,0
111,41,14,9,3,1,2,0,0,0,0,0,0
112,62,38,45,4,1.3,2,0,0,0,0,1,0
113,40,15,82,3,1,1,309,0,0,0,0,0
114,58,34,92,2,2.8,1,103,0,0,0,0,0
115,39,14,39,3,0.5,3,0,0,0,0,1,0
116,65,40,81,3,1.8,2,0,0,0,0,1,0
117,54,29,35,1,1.5,2,0,0,0,0,1,0
118,58,33,61,2,2.3,3,193,0,0,0,1,0
119,41,16,73,3,3,1,0,0,0,0,1,0
120,32,7,112,1,4.6,1,366,0,0,0,0,0
121,54,29,12,2,0.2,3,0,0,0,0,1,0
122,52,26,38,3,0.9,3,0,0,0,0,1,0
123,58,32,73,2,0.7,2,0,0,0,0,1,1
124,37,13,84,1,3.6,2,0,0,1,0,0,0
125,39,15,78,4,2.4,1,118,0,0,0,1,0
126,60,35,80,3,0.5,1,0,0,0,0,1,0
127,31,5,115,2,1.3,1,101,0,0,0,1,1
128,34,8,82,1,2.7,2,251,0,0,0,1,0
129,38,14,74,2,0,1,0,0,1,0,1,0
130,41,16,70,3,0.5,3,0,0,0,0,0,1
131,28,4,81,3,1.5,1,276,0,0,0,1,0
132,58,34,149,4,7.2,2,0,1,0,1,1,1
133,31,1,51,2,1.75,3,0,0,0,0,0,0
134,30,4,39,3,1.1,2,0,0,0,0,1,0
135,53,29,98,3,1.8,2,0,0,0,0,0,0
136,58,33,45,4,2.1,1,0,0,0,0,1,1
137,59,32,49,4,2.5,2,0,0,0,0,1,0
138,49,25,128,2,0.4,1,0,0,0,0,0,0
139,59,34,42,3,1.5,1,0,0,1,1,0,1
140,59,35,18,1,1.2,3,0,0,0,0,1,0
141,51,25,31,2,0.4,3,161,0,0,0,1,1
142,35,11,58,3,2,1,149,0,0,0,1,1
143,33,9,48,1,2.1,3,0,0,0,0,0,1
144,25,1,54,4,1.6,1,0,0,0,0,1,1
145,49,23,70,2,1.5,2,0,0,0,0,0,0
146,59,35,124,1,7.4,1,0,0,0,0,0,1
147,46,19,84,1,2.67,2,0,0,0,0,1,1
148,50,25,83,4,3.6,3,188,0,0,0,1,0
149,52,28,163,2,0.4,1,116,0,0,0,1,0
150,48,22,42,3,2.2,2,0,0,0,0,0,0
151,46,22,118,2,7.5,1,0,0,0,1,1,1
152,26,0,132,3,6.5,3,0,1,0,0,0,1
153,57,32,24,1,1.3,1,0,0,0,0,1,1
154,60,36,22,2,1,1,0,0,1,1,1,1
155,54,29,58,4,1.3,3,0,0,0,0,0,0
156,24,0,60,4,1.6,1,0,0,0,0,1,0
157,26,0,15,4,0.4,1,0,0,0,0,0,1
158,41,17,83,4,2.67,1,0,0,0,0,1,1
159,32,6,79,2,1.5,3,0,0,0,0,1,1
160,61,35,41,4,1.7,2,0,0,1,0,1,0
161,29,0,134,4,6.5,3,0,1,0,0,0,0
162,61,35,80,2,2.8,1,0,0,0,0,1,0
163,38,12,52,1,2,1,0,0,0,0,0,0
164,28,4,70,4,2.6,1,0,0,0,0,1,0
165,53,27,92,2,1.1,1,0,0,1,0,0,0
166,27,1,43,1,1.5,1,0,0,0,0,1,0
167,25,1,21,3,1,2,0,0,0,0,0,0
168,33,9,23,3,0.9,3,0,0,0,0,1,1
169,50,26,13,4,1,1,0,0,0,0,1,0
170,27,1,112,4,2.1,3,0,0,0,0,0,1
171,27,1,138,2,2,1,0,0,0,0,1,0
172,52,28,11,3,0.4,1,0,0,1,0,0,0
173,38,13,171,2,7.8,1,0,0,0,0,1,0
174,58,34,42,4,1.5,1,0,0,0,0,1,1
175,42,17,168,2,7.9,2,0,1,0,0,1,0
176,45,20,85,4,1.1,2,0,0,1,0,1,0
177,52,25,44,3,1,2,135,0,0,0,1,0
178,29,3,65,4,1.8,2,244,0,0,0,0,0
179,53,29,24,4,0.2,1,0,0,0,0,1,1
180,62,37,11,1,0.1,1,0,0,0,0,1,0
181,51,27,38,2,1,3,164,0,0,0,1,0
182,36,12,10,4,0.7,2,81,0,0,0,0,0
183,24,0,135,1,1.5,1,0,0,0,0,1,0
184,29,3,148,3,4.1,1,0,1,0,0,1,0
185,52,26,63,2,1.5,2,0,0,1,0,1,0
186,39,14,115,1,1,3,0,0,0,0,1,0
187,48,23,45,1,0.3,1,0,0,0,0,1,1
188,46,21,159,3,1.9,3,315,1,0,0,1,0
189,64,40,169,2,2.1,1,122,0,0,0,1,0
190,55,29,112,2,1.4,1,0,0,0,0,1,0
191,60,36,93,1,4.3,1,0,0,0,0,1,0
192,51,25,29,1,0.3,3,140,0,0,0,0,0
193,50,23,85,1,2.67,2,0,0,0,0,1,0
194,48,24,21,4,0.6,1,0,0,0,0,1,1
195,53,29,144,2,6.8,1,0,0,0,0,1,0
196,34,10,13,4,1,1,95,0,1,0,1,0
197,48,24,165,1,5,1,0,0,0,0,0,1
198,55,31,9,4,0.7,1,89,0,0,0,1,0
199,27,3,59,4,0,1,90,0,1,0,1,0
200,36,11,158,1,5.1,3,0,1,0,1,1,1
201,32,6,29,1,1.9,3,0,0,0,0,1,1
202,35,9,20,2,1.4,3,0,0,0,0,1,1
203,30,3,68,4,2,2,0,0,0,0,1,0
204,58,34,65,4,2.2,1,0,0,0,0,1,0
205,56,31,61,2,1.9,2,105,0,0,0,0,0
206,38,12,91,4,1.4,2,100,0,0,0,0,1
207,49,25,31,1,1,1,0,0,1,0,1,0
208,34,10,71,4,0.1,2,0,0,0,0,0,0
209,40,16,73,4,2.67,1,0,0,0,0,1,1
210,64,39,172,4,3.1,1,282,1,0,1,1,1
