,Amount.Requested,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,ho_mort,ho_rent
0,20000.0,8.9,36,4,14.9,6541.67,735-739,14.0,14272.0,2.0,0,1,0
1,19200.0,12.12,36,4,28.36,4583.33,715-719,12.0,11140.0,1.0,2,1,0
2,35000.0,21.98,60,4,23.81,11500.0,690-694,14.0,21977.0,1.0,2,1,0
3,10000.0,9.99,36,4,14.3,3833.33,695-699,10.0,9346.0,0.0,5,1,0
4,12000.0,11.71,36,3,18.78,3195.0,695-699,11.0,14469.0,0.0,9,0,1
5,6000.0,15.31,36,3,20.05,4891.67,670-674,17.0,10391.0,2.0,3,0,0
6,10000.0,7.9,36,4,26.09,2916.67,720-724,10.0,15957.0,0.0,10,0,1
7,33500.0,17.14,60,3,14.7,13863.42,705-709,12.0,27874.0,0.0,10,1,0
8,14675.0,14.33,36,3,26.92,3150.0,685-689,9.0,7246.0,1.0,8,0,1
9,7000.0,6.91,36,3,7.1,5000.0,715-719,8.0,7612.0,0.0,3,0,1
10,2000.0,19.72,36,4,10.29,3575.0,670-674,10.0,12036.0,0.0,6,0,1
11,10625.0,14.27,36,4,12.54,4250.0,665-669,14.0,10767.0,0.0,0,1,0
12,28000.0,21.67,60,4,13.07,14166.67,670-674,12.0,10311.0,0.0,1,1,0
13,35000.0,8.9,36,4,20.46,9166.67,735-739,19.0,21536.0,0.0,1,0,1
14,9600.0,7.62,36,4,3.45,11250.0,725-729,13.0,4606.0,0.0,0,0,1
15,25000.0,15.65,60,4,21.99,5416.67,730-734,6.0,13929.0,0.0,9,0,1
16,10000.0,12.12,36,4,17.72,9000.0,695-699,18.0,20317.0,0.0,7,0,1
17,14000.0,10.37,60,4,11.95,4333.33,740-744,6.0,7419.0,0.0,9,0,1
18,10000.0,9.76,36,3,7.13,2733.33,730-734,7.0,6112.0,2.0,3,0,1
19,5200.0,9.99,60,4,10.29,3750.0,760-764,10.0,16094.0,0.0,1,1,0
20,22000.0,21.98,36,4,11.19,6666.67,665-669,9.0,23124.0,0.0,10,1,0
21,30000.0,19.05,60,3,21.25,6250.0,695-699,12.0,34927.0,0.0,6,1,0
22,6500.0,17.99,60,1,19.63,4100.0,665-669,11.0,11697.0,1.0,2,0,1
23,17400.0,11.99,36,3,12.47,6833.33,695-699,7.0,26587.0,0.0,7,0,1
24,4000.0,16.82,60,2,13.71,4500.0,670-674,5.0,20804.0,0.0,3,1,0
25,7200.0,7.9,36,4,24.82,5416.67,705-709,8.0,12017.0,0.0,7,0,1
26,8000.0,14.42,36,4,24.63,2964.17,675-679,9.0,8928.0,2.0,6,0,1
27,8000.0,15.31,36,4,15.46,2916.67,675-679,,7152.0,1.0,5,1,0
28,3000.0,8.59,36,3,3.72,4167.0,765-769,4.0,7074.0,0.0,5,1,0
29,14500.0,7.9,36,4,4.85,3958.33,760-764,4.0,9598.0,0.0,4,1,0
30,23850.0,21.0,60,4,28.81,5833.33,685-689,19.0,25968.0,3.0,9,1,0
31,14000.0,12.12,36,4,14.93,10583.33,685-689,9.0,35457.0,0.0,2,1,0
